HCl (%),H2SO4 (%),CuSO4 (%),pH Value,Temperature (°C),Etching Time (s),Capacitance (pF),Insulation Resistance (MΩ),Impedance Match (Ω),Dielectric Breakdown (kV),Board Thickness (mm),Board Width (mm),Board Length (mm),Hole Diameter Deviation (mm),Pad-to-Hole Alignment (mm),Silkscreen Clarity,Solderability Test,Dimension Accuracy,Frequency Test Result,Defect Type,PCB_Status
2.95,3.61,0.93,4.23,48.36,95,35.18,83.9,48.19,2.63,1.04,139,209,0.028,0.008,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.17,3.43,1.27,5.49,45.34,120,34.06,57.09,52.17,3.97,1.41,169,192,0.008,0.018,Clear,Pass,Accurate,Pass,None,OK
3.3,2.82,1.06,4.95,45.19,102,31.43,67.7,48.31,4.14,1.48,149,204,0.024,0.017,Clear,Pass,Accurate,Pass,None,OK
3.74,2.69,1.02,5.03,46.5,105,34.82,66.06,47.62,3.69,1.42,151,190,0.047,0.005,Clear,Pass,Accurate,Pass,None,OK
3.16,2.98,1.2,4.77,45.56,119,26.56,96.85,50.71,3.5,1.49,132,205,0.016,0.018,Clear,Pass,Accurate,Pass,None,OK
4.37,2.35,1.45,5.36,41.98,98,26.18,71.98,47.62,3.92,1.38,179,219,0.011,0.049,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.34,2.54,1.03,5.4,46.28,102,27.97,71.4,48.04,4.37,1.33,137,206,0.033,0.04,Clear,Pass,Accurate,Pass,None,OK
3.18,2.69,0.89,4.54,45.93,140,39.28,51.27,53.49,4.71,1.02,178,194,0.085,0.013,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
2.73,3.95,1.03,4.5,42.1,87,21.91,53.58,49.02,4.86,1.46,171,190,0.077,0.014,Clear,Fail,Accurate,Fail,Delamination,Faulty
3.67,2.75,1.15,4.94,43.13,119,28.62,84.52,47.45,3.2,1.36,148,198,0.029,0.021,Clear,Pass,Accurate,Pass,None,OK
3.94,2.57,1.01,5.31,45.68,114,28.27,80.12,49.56,4.08,1.28,160,194,0.007,0.029,Clear,Pass,Accurate,Pass,None,OK
3.02,2.27,1.21,5.55,40.22,104,21.05,95.28,53.23,2.83,1.33,136,209,0.031,0.078,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.08,2.63,1.07,4.58,43.93,104,27.52,57.05,48.32,4.04,1.5,161,195,0.012,0.008,Clear,Pass,Accurate,Pass,None,OK
4.13,3.85,1.09,4.28,47.88,84,34.43,89.01,47.23,4.3,1.41,148,188,0.006,0.028,Clear,Fail,Accurate,Fail,Short Circuit,Faulty
3.52,2.61,1.04,5.29,44.01,111,29.43,96.98,49.17,4.04,1.22,144,204,0.047,0.003,Clear,Pass,Accurate,Pass,None,OK
3.08,3.37,1.32,4.99,45.88,117,31.42,67.29,48.56,4.4,1.31,168,198,0.009,0.044,Clear,Pass,Accurate,Pass,None,OK
2.98,3.53,1.43,5.95,41.46,98,35.64,57.5,52.84,2.64,1.08,165,218,0.082,0.1,Blurred,Pass,Accurate,Fail,Delamination,Faulty
2.69,2.35,1.05,4.74,46.97,97,23.11,73.13,50.75,3.24,1.25,152,183,0.038,0.095,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.38,3.43,1.14,4.51,46.17,105,28.11,52.24,47.56,4.09,1.29,160,192,0.035,0.017,Clear,Pass,Accurate,Pass,None,OK
4.3,2.8,1.56,4.69,47.83,132,29.8,70.57,49.18,2.94,1.34,156,212,0.003,0.014,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.77,2.29,1.06,5.04,49.37,110,22.21,76.56,47.63,2.67,1.23,158,211,0.006,0.026,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.18,2.97,1.03,4.73,44.49,106,25.8,65.02,50.36,3.45,1.32,132,208,0.048,0.018,Clear,Pass,Accurate,Pass,None,OK
3.65,3.13,1.11,4.69,46.16,104,32.09,66.78,47.16,3.53,1.48,161,202,0.006,0.044,Clear,Pass,Accurate,Pass,None,OK
3.95,2.05,1.55,5.01,42.43,97,20.71,72.58,53.89,2.7,1.59,143,201,0.071,0.017,Clear,Fail,Accurate,Fail,Delamination,Faulty
4.29,2.27,1.5,5.02,48.42,140,22.73,45.41,51.76,3.4,1.55,133,215,0.074,0.022,Blurred,Pass,Accurate,Fail,Short Circuit,Faulty
4.27,3.93,0.88,4.28,42.09,136,35.28,63.55,47.5,4.75,1.43,166,202,0.01,0.035,Blurred,Pass,Accurate,Fail,Open Circuit,Faulty
4.06,3.1,1.11,5.97,40.73,118,20.36,77.28,50.74,2.8,1.06,156,205,0.069,0.093,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.76,3.2,1.27,5.25,44.77,114,29.59,54.64,52.8,3.59,1.31,139,202,0.02,0.035,Clear,Pass,Accurate,Pass,None,OK
3.25,2.89,1.3,4.98,46.43,111,30.56,81,49.05,3.05,1.48,157,192,0.011,0.038,Clear,Pass,Accurate,Pass,None,OK
3.71,2.87,1.05,4.66,43.1,97,29.55,67.34,51.17,4.37,1.33,156,209,0.011,0.034,Clear,Pass,Accurate,Pass,None,OK
4.3,3.01,1.49,5.19,46.5,117,37.97,96.35,54.68,4.58,1.14,143,217,0.089,0.019,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.45,3.18,1.31,4.76,43.33,101,33.9,81.46,51.86,3.11,1.46,169,203,0.006,0.005,Clear,Pass,Accurate,Pass,None,OK
2.52,2.21,1.47,4.84,49.48,86,37.35,93.43,46.37,4.8,1.37,169,213,0.081,0.08,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.28,2.88,1.15,5,46.11,121,30.59,50.34,48.67,4.05,1.36,160,191,0.032,0.048,Clear,Pass,Accurate,Pass,None,OK
3.52,3.08,1.27,4.52,45.5,97,34.23,99.1,51.49,4.1,1.29,163,199,0.037,0.045,Clear,Pass,Accurate,Pass,None,OK
3.38,3.02,1.27,4.92,45.24,111,30.11,58.53,51.99,4.27,1.33,134,198,0.034,0.012,Clear,Pass,Accurate,Pass,None,OK
2.82,3.3,1.29,5.3,40.51,127,22.79,60.49,46.12,4.97,1.38,175,199,0.06,0.081,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.6,2.3,0.93,4.84,44.97,104,20.45,47.52,49.59,3.71,1.45,128,208,0.081,0.067,Clear,Pass,Inaccurate,Fail,Open Circuit,Faulty
3.88,2.12,1.34,4.92,41.23,111,37.38,78.09,51.97,3.93,1.45,146,208,0.065,0.004,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.23,3.02,1.32,5.18,45.46,117,27.93,82.97,48.45,3.83,1.33,140,202,0.046,0.04,Clear,Pass,Accurate,Pass,None,OK
2.95,2.92,1.36,5.5,43.51,101,32.17,42.6,48.24,4.48,1.01,161,196,0.07,0.068,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.92,2.12,0.98,5.03,47.73,138,38.54,94.01,50.14,4.53,1.03,145,184,0.032,0.057,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
2.97,3.99,0.89,4.64,48.03,95,33.3,82.58,53.8,2.99,1.17,137,192,0.092,0.098,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.15,2.12,0.93,5.19,41.53,131,33.82,95.34,48.55,3.1,1.41,155,194,0.012,0.087,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.76,3.33,1.28,5.02,46.72,102,28.55,85.79,52.95,4.09,1.28,136,200,0.007,0.02,Clear,Pass,Accurate,Pass,None,OK
3.8,3.2,1.02,5.1,45.62,115,30.22,58.58,47.12,3.45,1.29,137,191,0.016,0.034,Clear,Pass,Accurate,Pass,None,OK
3.8,3.46,1.21,4.83,45.59,116,30.3,55.59,48.3,4.12,1.26,146,205,0.017,0.008,Clear,Pass,Accurate,Pass,None,OK
3.38,3.29,1.07,4.68,46.04,124,31.87,57.63,51.68,3.52,1.3,168,194,0.012,0.027,Clear,Pass,Accurate,Pass,None,OK
3.64,2.24,0.93,4.11,47.07,116,38.46,83.41,51.21,4.34,1.19,180,192,0.005,0.062,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.17,2.65,1.39,5.31,46.47,113,27.24,62.34,48.16,4.35,1.39,143,190,0.007,0.006,Clear,Pass,Accurate,Pass,None,OK
3.84,3.24,1.1,5.41,44.05,108,31.59,58.41,51.19,3.25,1.32,153,197,0.024,0.027,Clear,Pass,Accurate,Pass,None,OK
3.33,3.17,1.17,5.01,45.47,99,32.79,83.7,52.13,3.47,1.41,159,205,0.042,0.012,Clear,Pass,Accurate,Pass,None,OK
2.99,2.12,1.51,4,46.28,87,20.97,32.26,48.97,2.6,1.23,167,191,0.026,0.089,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
4.45,3.02,0.99,5.83,41.21,135,22.97,73.73,46.74,3.31,1.52,137,192,0.095,0.028,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.29,3.99,1.08,5.69,49.86,84,28.28,59.18,48.78,4.41,1.13,126,188,0.011,0.035,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.75,3.15,1.08,4.81,45.34,113,31.77,71.04,52.76,3.75,1.5,144,203,0.048,0.023,Clear,Pass,Accurate,Pass,None,OK
3.76,3.23,0.98,4.34,43.9,120,25.27,60.06,53,3.2,1.55,147,185,0.004,0.097,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.82,2.98,1.05,5.01,43.54,107,29.82,76.89,49.85,4.16,1.31,133,191,0.006,0.033,Clear,Pass,Accurate,Pass,None,OK
3.77,2.56,1.24,5.38,45.08,112,34.92,52.37,52.83,4.12,1.34,142,207,0.041,0.044,Clear,Pass,Accurate,Pass,None,OK
3.65,3.05,1,5.45,45.54,112,29.78,82.45,52.09,4.53,1.44,123,194,0.037,0.045,Clear,Fail,Inaccurate,Fail,Open Circuit,Faulty
3.39,3.45,1.2,5.19,43.28,124,29.05,93.06,49.47,3.32,1.25,134,196,0.041,0.008,Clear,Pass,Accurate,Pass,None,OK
2.89,2.26,1.11,4.86,43.79,101,33.23,71.42,53.04,3.9,1.22,139,219,0.016,0.08,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.94,3.35,1.15,5.36,43.74,117,26.07,58.53,48.31,3.22,1.32,160,201,0.019,0.045,Clear,Pass,Accurate,Pass,None,OK
3.66,2.99,1.03,4.83,46.65,120,33.22,68.01,50.08,3.46,1.42,141,204,0.006,0.02,Clear,Pass,Accurate,Pass,None,OK
2.55,2.39,1.57,4.7,46.51,123,33.95,79.17,48.37,3.59,1.31,155,195,0.018,0.078,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.58,2.66,1.29,5.21,43.48,105,27.12,53.6,50.9,3.73,1.27,159,191,0.05,0.042,Clear,Pass,Accurate,Pass,None,OK
2.85,2.83,1.25,5.24,48.94,120,27.83,70.56,50.77,4.71,1.28,150,211,0.008,0.064,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.7,3.32,1,5.15,45.32,117,32.13,56.84,49.75,3.81,1.25,139,206,0.033,0.026,Clear,Pass,Accurate,Pass,None,OK
3.04,2.93,1.18,5.07,44.29,106,26.79,83.29,50.4,3.64,1.31,159,200,0.049,0.043,Clear,Pass,Accurate,Pass,None,OK
4.33,3.54,1.23,4.07,45.44,108,21.9,65.33,45.95,3.16,1.26,122,184,0.049,0.014,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.39,2.89,1.25,5.03,45.22,102,25.17,84.63,49.5,3.99,1.45,155,191,0.024,0.033,Clear,Pass,Accurate,Pass,None,OK
3.88,3.17,1.17,5.05,43.94,106,26.6,83.85,50.15,3.64,1.39,135,208,0.02,0.025,Clear,Pass,Accurate,Pass,None,OK
4.36,2.96,0.94,4.11,46.07,115,31.54,95.53,48.5,3.31,1.46,142,218,0,0.059,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.16,3.26,1.05,5.35,44.78,95,28.77,77.61,52.72,4.42,1.49,156,194,0.012,0.016,Clear,Pass,Accurate,Pass,None,OK
3.41,2.56,1.31,5.42,46.47,112,26.07,97.63,50,3.39,1.47,149,206,0.049,0.048,Clear,Pass,Accurate,Pass,None,OK
3.41,3.27,1.13,4.61,44.5,96,26.98,75.36,48.52,3.94,1.25,157,205,0.013,0.04,Clear,Pass,Accurate,Pass,None,OK
3.36,3.23,1.05,5.07,44.41,106,32.65,72.47,51.55,3.92,1.21,149,202,0.001,0.019,Clear,Pass,Accurate,Pass,None,OK
3.09,3.07,1.23,4.68,44.64,125,34.68,90.67,52.44,3.65,1.2,120,180,0.037,0.056,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.56,3.09,1.22,5.42,44.78,113,32.7,62.38,49.03,3.42,1.32,141,202,0.026,0.008,Clear,Pass,Accurate,Pass,None,OK
4.2,2.02,1.28,5.35,43.37,84,36.34,99.53,49.52,3.86,1.39,143,213,0.074,0.057,Clear,Pass,Accurate,Fail,Delamination,Faulty
4,2.84,1.01,4.63,43.4,117,33.17,54.94,51.9,3.62,1.36,150,202,0.019,0.039,Clear,Pass,Accurate,Pass,None,OK
2.84,3.95,1.07,5.72,44,82,37.19,50.98,45.73,3.42,1.28,164,182,0.094,0.034,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.26,2.66,1.13,4.91,44.55,101,33.41,77.41,47.34,3.55,1.35,159,194,0.013,0.049,Clear,Pass,Accurate,Pass,None,OK
4.37,3.92,1.35,4.02,46.2,118,26.71,62.86,48.02,4.78,1.2,155,189,0.019,0.015,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.7,2.6,1.3,4.59,43.03,101,29.2,65.74,48.99,3.26,1.24,139,194,0.032,0.014,Clear,Pass,Accurate,Pass,None,OK
3.64,2.22,1.11,4.92,48.36,129,36.05,55.75,45.43,4.59,1.41,157,213,0.059,0.1,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.76,2.5,1.37,4.61,45.01,95,33.68,76.2,47.57,3.72,1.24,134,209,0.018,0.046,Clear,Pass,Accurate,Pass,None,OK
3.73,2.91,0.96,4.97,41.2,140,22.31,75,53.65,4.15,1.1,148,198,0,0.037,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.58,2.71,1.24,5.4,46.39,112,30.26,60.31,47.51,3.58,1.21,166,208,0.02,0.006,Clear,Pass,Accurate,Pass,None,OK
3.1,2.91,1.09,4.95,45.21,102,29.71,91.91,50.95,3.27,1.46,137,196,0.001,0.048,Clear,Pass,Accurate,Pass,None,OK
3.57,2.74,1.09,5.19,45.43,119,32.19,99.98,49.31,3.67,1.48,159,200,0.029,0.037,Clear,Pass,Accurate,Pass,None,OK
3.95,2.81,1.24,4.64,43.12,104,27.14,66.12,52.23,3.63,1.23,146,190,0.006,0.017,Clear,Pass,Accurate,Pass,None,OK
3.34,2.89,1.16,4.52,46.44,123,32.89,92.12,50.1,3.2,1.26,132,196,0.011,0.015,Clear,Pass,Accurate,Pass,None,OK
3.64,2.81,1.07,5.39,44.54,117,29.29,93.65,48.77,3.2,1.23,150,192,0.036,0.032,Clear,Pass,Accurate,Pass,None,OK
3.96,3.22,1.31,5.07,46.9,123,26.27,99.8,51.33,3.97,1.46,145,202,0.016,0.03,Clear,Pass,Accurate,Pass,None,OK
3.22,2.75,1.3,5.41,43.03,120,27.13,43.15,48.38,3.47,1.33,144,185,0.049,0.012,Blurred,Pass,Accurate,Fail,Short Circuit,Faulty
3.8,2.99,1.08,4.52,43.48,95,26.19,67.14,50.74,4.06,1.49,161,192,0.008,0.046,Clear,Pass,Accurate,Pass,None,OK
4.12,2.92,1,4.01,43.5,134,25.14,94.03,48.17,3.95,1.24,164,208,0.05,0.043,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.69,2.52,1.13,5.49,46.78,109,26.65,87.8,51.8,4.41,1.28,156,195,0.029,0.038,Clear,Pass,Accurate,Pass,None,OK
4.23,3.78,1.38,4.47,40.66,140,28.39,80.95,48.37,2.92,1.51,178,214,0.002,0.022,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
4.33,3.91,1.23,5.64,45.49,101,39.31,38.51,46.23,2.89,1.46,131,196,0.025,0.001,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.97,2.73,1.02,4.99,45.54,109,33.91,61.44,50.86,3.13,1.29,135,204,0.011,0.027,Clear,Pass,Accurate,Pass,None,OK
3.17,3.21,1.28,4.98,43.21,122,34.91,81.24,48,3.18,1.31,145,193,0.014,0.046,Clear,Pass,Accurate,Pass,None,OK
4.1,3.38,1.47,4,42.56,133,25.85,61.7,46.11,3.09,1.11,145,203,0.03,0.019,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.77,2.8,1.11,5.12,46.89,98,28.57,85.24,51.02,3.08,1.35,132,194,0.031,0.03,Clear,Pass,Accurate,Pass,None,OK
3.41,3.42,1.09,4.51,43.06,104,27.92,87.06,49.35,3.8,1.4,169,192,0.037,0.042,Clear,Pass,Accurate,Pass,None,OK
3.36,3.21,1.12,5.07,45.92,102,27.19,60.36,49.78,3.93,1.35,149,208,0.037,0.042,Clear,Pass,Accurate,Pass,None,OK
4.28,2.08,1.16,4.14,48.27,131,24.04,92.99,53.88,3.77,1.26,148,218,0.025,0.022,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.52,2.79,1.35,5.13,46.56,108,33.24,92.44,52.53,3.61,1.49,169,205,0.024,0.046,Clear,Pass,Accurate,Pass,None,OK
3.03,3.02,1.21,4.8,43.7,107,27.09,71.05,49.16,4.2,1.23,136,206,0.023,0.003,Clear,Pass,Accurate,Pass,None,OK
3.31,3.17,1.06,5.23,44.37,115,34.24,60.82,50.67,4.03,1.44,140,198,0.039,0.029,Clear,Pass,Accurate,Pass,None,OK
3.66,3.32,1.17,4.83,42.08,129,23.97,36.08,48.66,4.86,1.42,172,197,0.093,0.062,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.17,2.69,1.31,4.88,45.24,111,31.67,77.13,49.18,4.48,1.3,158,198,0.01,0.023,Clear,Pass,Accurate,Pass,None,OK
3.14,2.75,1.08,5.22,45.72,101,33.97,93.17,47.57,3.21,1.31,132,203,0.008,0.025,Clear,Pass,Accurate,Pass,None,OK
3.34,3.01,1.16,4.64,46.49,100,30.54,98.35,49.72,3.09,1.41,150,200,0.033,0.023,Clear,Pass,Accurate,Pass,None,OK
3.07,2.13,1.52,4.99,49.67,122,26.58,74.32,54.48,3.18,1.1,153,180,0.062,0.096,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.8,3.42,1.23,5.41,46.04,103,31.91,87.41,50.58,3.41,1.48,161,199,0.02,0.042,Clear,Pass,Accurate,Pass,None,OK
2.56,2.3,0.85,4.21,41.43,87,25.88,48.15,48.06,3.14,1.08,147,215,0.026,0.004,Blurred,Pass,Accurate,Fail,Solder Bridge,Faulty
3.2,2.84,1.23,5.38,44.45,114,31.19,50.28,49.45,3.03,1.41,159,194,0.035,0.016,Clear,Pass,Accurate,Pass,None,OK
3.53,2.9,1.03,4.65,46.29,114,33.31,56.74,49.34,4.4,1.43,168,193,0.013,0.023,Clear,Pass,Accurate,Pass,None,OK
3.75,2.69,1.33,5.44,46.86,102,33.36,53.81,51.92,3.46,1.43,140,200,0.016,0.01,Clear,Pass,Accurate,Pass,None,OK
3.24,3.09,1.19,5.06,43.91,108,30.9,55.06,47.18,3.83,1.3,146,195,0.045,0.013,Clear,Pass,Accurate,Pass,None,OK
3.92,3.24,1.4,5.2,43.3,124,31.33,69.15,48.77,3.48,1.43,154,191,0.021,0.033,Clear,Pass,Accurate,Pass,None,OK
4.04,3.43,1.32,4.33,43.5,132,36.09,59.13,50.1,4.56,1.53,154,187,0.049,0.016,Blurred,Fail,Accurate,Fail,Delamination,Faulty
2.93,2.14,0.86,5.57,40.83,92,22.76,31.19,47.44,3.4,1.03,161,185,0.055,0.043,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.87,2.94,1.29,5.34,44.71,114,34.22,66.92,51.87,3.37,1.44,154,192,0.03,0.006,Clear,Pass,Accurate,Pass,None,OK
2.67,2.02,1.44,5.27,43.12,140,35.95,34.43,53.63,4.4,1.52,151,208,0.079,0.045,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
2.6,3.91,1.15,4.25,47.83,120,30.76,37.56,50.26,4,1.08,169,216,0.036,0.056,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.56,3.48,1.6,4.14,44.43,138,26.19,75.52,50.28,3.19,1.51,157,191,0.096,0,Blurred,Fail,Inaccurate,Fail,Delamination,Faulty
3.25,3.25,1.4,4.58,46.53,97,34.3,55.68,52.52,3.23,1.36,138,207,0.005,0.009,Clear,Pass,Accurate,Pass,None,OK
3.99,2.8,1.18,4.67,43.6,117,31.64,94.11,49.47,3.48,1.36,158,207,0.009,0.026,Clear,Pass,Accurate,Pass,None,OK
3.67,3.21,1.06,4.79,46.54,107,25.08,80.77,52.33,3.92,1.43,144,196,0.002,0.002,Clear,Pass,Accurate,Pass,None,OK
4.45,3.55,1.08,5.09,44.43,84,33.11,98.5,53.12,4.53,1.41,157,196,0.033,0.013,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.53,3.32,1.1,4.16,43.76,84,20.17,97.58,52.59,2.83,1.39,173,211,0.095,0.023,Clear,Pass,Inaccurate,Fail,Misalignment,Faulty
3.15,2.37,0.85,5.91,43.67,96,38.55,59.14,47.66,4.39,1.13,179,214,0.08,0.043,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.29,2.76,1.29,4.98,46.97,115,26.04,89.82,48.19,4.46,1.45,148,202,0.021,0.006,Clear,Pass,Accurate,Pass,None,OK
3.04,2.2,1.17,5.72,48.09,88,27.34,51.19,52.01,4.94,1.25,165,195,0.057,0.013,Blurred,Fail,Accurate,Fail,Delamination,Faulty
3.68,3.28,1.31,4.85,43.22,103,33.58,68.58,48.33,3.84,1.3,144,202,0.049,0.043,Clear,Pass,Accurate,Pass,None,OK
3.67,3.33,1.34,5.01,44.98,115,25.85,70.51,52.08,3.8,1.44,168,195,0.044,0.042,Clear,Pass,Accurate,Pass,None,OK
2.55,2.53,1.37,4.03,46.71,98,29.94,72.48,46.29,3.58,1.18,132,203,0.084,0.065,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
4.43,2.04,0.81,5.02,42.69,95,35.06,64.22,48.18,4.56,1.52,166,213,0.075,0.004,Clear,Fail,Accurate,Fail,Solder Bridge,Faulty
3.61,3.3,1.12,4.69,44.32,103,27.14,65.88,52.42,3.05,1.44,164,192,0.032,0.017,Clear,Pass,Accurate,Pass,None,OK
3.71,2.72,1.2,5.18,44.57,116,27.31,71.92,48.34,4.26,1.27,169,199,0.043,0.017,Clear,Pass,Accurate,Pass,None,OK
3.27,3.19,1.34,4.56,44.81,116,31,80.52,47.36,3.07,1.42,142,194,0.03,0.047,Clear,Pass,Accurate,Pass,None,OK
2.85,3.54,0.8,5.64,45.77,95,32.61,53.88,51.36,4.59,1.31,152,207,0.068,0.095,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.98,3.04,1.35,4.86,45.96,105,30.77,74.65,47.54,4.36,1.26,145,200,0.018,0.001,Clear,Pass,Accurate,Pass,None,OK
3,2.76,1.42,4.4,40.29,94,29.76,77.27,46.29,4.51,1.58,176,189,0.024,0.062,Clear,Fail,Accurate,Fail,Open Circuit,Faulty
3.86,3.49,1.01,4.68,45.37,100,27.89,91.9,48.57,3.81,1.23,132,193,0.009,0.029,Clear,Pass,Accurate,Pass,None,OK
3.75,2.86,1.27,5.23,46.84,117,27.08,95.01,51.57,3.25,1.37,160,199,0.033,0.03,Clear,Pass,Accurate,Pass,None,OK
3.82,3.23,1.41,4.75,45.46,111,26.59,68.93,53.56,2.62,1.01,145,205,0.092,0.048,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.06,3.55,1.27,4.79,43.59,124,28.47,49.95,53.31,3.37,1.29,173,194,0.072,0.026,Clear,Fail,Accurate,Fail,Misalignment,Faulty
3.03,3.27,1.24,5.38,44.33,106,32.65,73.48,50.06,3.68,1.47,130,193,0.01,0.039,Clear,Pass,Accurate,Pass,None,OK
3.59,2.87,1.03,4.58,45.17,121,34.35,61.99,49.73,4.49,1.21,164,202,0.021,0.048,Clear,Pass,Accurate,Pass,None,OK
3.71,2.9,1.37,5.29,46.25,98,25.53,97.26,50.5,3.46,1.45,145,197,0.041,0.018,Clear,Pass,Accurate,Pass,None,OK
3.72,3.94,1.21,4.34,44.09,122,39.62,76.83,54.29,3.92,1.01,169,183,0.077,0.097,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.34,3.6,0.91,4.62,44.67,97,35.18,82.29,48.07,3,1.59,147,220,0.098,0.086,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3,2.59,1.34,5.01,40.53,135,30.23,94.12,48.98,4.14,1.04,147,188,0.07,0.02,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.21,3.96,1.3,5.59,40.38,115,32.88,97.07,52,4.22,1.54,144,214,0.042,0.072,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.85,2.61,1.18,5.4,44.49,98,26.33,86.75,52.34,3.4,1.35,130,195,0.006,0.022,Clear,Pass,Accurate,Pass,None,OK
3.95,2.74,1.27,5.47,44.86,119,31.42,82.01,47.54,3.18,1.46,143,200,0.006,0.034,Clear,Pass,Accurate,Pass,None,OK
3.92,2.66,1.35,5.08,45.74,122,33.04,87.27,51.17,3.9,1.45,136,191,0.011,0.048,Clear,Pass,Accurate,Pass,None,OK
3.41,2.66,1.05,4.83,46.44,117,32.91,53.8,52.56,3.13,1.46,152,207,0.028,0.045,Clear,Pass,Accurate,Pass,None,OK
2.58,3.31,1.4,4.17,47.45,108,32.73,31.07,51.02,3.76,1.27,161,182,0.092,0.023,Clear,Fail,Accurate,Fail,Delamination,Faulty
4.21,2.26,1.53,4.75,41.68,84,36.68,90.29,50.73,3.41,1.2,153,184,0.095,0.01,Blurred,Pass,Accurate,Fail,Delamination,Faulty
3.91,2.68,1.41,4.83,41.9,92,36,40.19,49.58,2.94,1.03,149,189,0.048,0.005,Clear,Fail,Accurate,Fail,Open Circuit,Faulty
3.45,3.86,1.28,4.08,44.61,80,26.91,88.61,47.77,4.67,1.5,180,207,0.037,0.086,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.9,2.51,1.34,4.82,44.66,121,32.2,53.38,48.28,4.15,1.43,164,207,0.013,0.033,Clear,Pass,Accurate,Pass,None,OK
3.48,2.74,1.51,5.91,42.47,119,28.61,75.22,49.5,4.81,1.39,163,193,0.05,0.009,Blurred,Pass,Inaccurate,Fail,Open Circuit,Faulty
3,3.29,1.29,4.88,45.13,120,33.87,57.66,52.03,4.38,1.45,158,201,0.025,0.043,Clear,Pass,Accurate,Pass,None,OK
3.35,2.97,1.34,5.11,46.9,116,27.17,57.37,51.19,4.4,1.25,151,206,0.015,0.004,Clear,Pass,Accurate,Pass,None,OK
3.11,3.3,1.2,4.99,43.17,111,26.07,71.03,47.09,3.16,1.29,145,208,0.025,0.019,Clear,Pass,Accurate,Pass,None,OK
3.88,3.11,1.01,5.15,44.79,101,31.15,57.87,48.39,3.84,1.27,158,206,0.014,0.001,Clear,Pass,Accurate,Pass,None,OK
3.73,2.48,1.37,4.78,40.73,114,39.57,38.64,51.99,3.17,1.19,179,219,0.035,0.072,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.77,2.24,1.02,5.9,42.74,94,36.2,64.06,45.22,4.28,1.31,121,187,0.077,0.032,Blurred,Pass,Accurate,Fail,Misalignment,Faulty
3.93,3.33,1.27,4.54,45.54,100,33.22,92.73,50.64,3.15,1.42,135,193,0.049,0.009,Clear,Pass,Accurate,Pass,None,OK
